5.25,1,5,u
6.84,2,6,l
8.45,2,7,u
10.04,1,11,r
11.63,1,0,u
12.03,2,12,l
12.38,2,13,d
13.27,1,10,r
13.99,2,2,u
14.47,1,1,l
15.23,1,5,d
15.57,2,10,d
16.41,2,10,u
17.19,1,8,l
18.02,1,4,l
18.79,2,6,r
19.59,1,4,l
20.38,1,5,r
20.81,2,7,r
21.60,2,6,l
22.00,2,7,r
22.79,1,1,u
23.57,1,9,d
23.99,1,5,u
24.40,2,11,r
24.63,2,10,l
24.83,2,10,r
25.20,1,5,u
26.02,1,13,d
26.78,2,2,u
27.21,2,10,d
27.59,1,8,l
28.04,2,11,d
28.41,2,3,u
28.82,1,1,u
29.20,1,9,d
29.62,1,8,l
29.99,2,7,r
30.68,2,2,u
31.03,1,12,l
31.36,1,13,d
31.61,2,9,l
31.85,1,1,u
32.43,1,4,l
33.18,1,9,d
33.72,2,10,d
34.78,1,9,d
35.61,1,5,u
36.38,2,10,d
36.82,2,6,u
37.19,1,9,d
37.57,1,9,l
37.90,2,10,r
38.20,2,11,r
38.40,2,10,l
38.81,1,8,l
39.22,1,9,r
39.60,2,11,r
40.19,1,10,r
40.80,1,9,l
41.18,2,5,l
41.55,2,6,r
41.98,2,9,d
42.78,1,10,d
43.19,2,5,u
43.67,2,9,d
44.18,1,10,d
44.83,1,6,u
45.40,1,5,u
45.98,1,9,d
46.40,2,6,u
47.00,2,10,d
47.77,2,6,u
48.03,1,9,d
48.43,2,10,d
48.80,1,8,l
49.20,2,11,r
49.61,1,12,l
50.04,2,15,r
50.79,1,5,u
51.21,2,6,u
51.66,1,9,d
52.37,2,10,d
52.86,1,9,l
53.28,2,5,l
54.00,1,10,r
54.54,2,6,r
55.08,1,9,d
55.58,2,10,d
56.00,1,5,u
56.47,2,6,u
56.89,1,9,d
57.38,2,10,d
58.26,2,6,r
58.79,1,5,l
59.21,1,6,r
59.85,2,10,r
60.38,1,5,l
60.82,2,9,l
61.26,1,1,u
61.98,2,2,u
62.79,1,9,d
63.57,2,10,d
64.39,1,5,u
65.21,2,6,u
66.00,1,4,l
66.79,1,5,r
67.23,2,7,r
67.74,1,13,d
68.46,1,9,d
69.14,2,10,d
69.78,2,14,d
70.41,1,9,l
70.93,2,10,r
71.64,1,8,l
72.40,2,6,u
73.17,1,5,l
73.99,2,11,r
74.59,2,7,u
75.03,1,13,l
75.58,1,14,r
76.47,2,2,u
77.26,1,4,l
77.97,2,10,d
78.79,2,9,l
79.57,1,1,u
80.44,2,14,d
81.30,1,6,r
82.16,1,5,u
82.82,2,6,l
83.66,2,7,u
84.38,1,11,r
85.29,1,0,u
86.56,2,12,l
87.65,2,13,d
88.49,1,10,r
89.33,2,2,u
90.14,1,1,l
90.17,1,5,d
91.73,2,10,d
92.45,2,10,u
93.23,1,8,l
94.00,1,4,l
94.95,2,6,r
95.63,1,4,l
96.45,1,5,r
97.18,2,7,r
98.12,2,6,l
99.00,2,7,r
99.62,1,1,u
100.60,1,9,d
101.29,1,5,u
101.98,2,11,r
102.84,2,10,l
103.61,2,10,r
104.43,1,5,u
105.23,1,13,d
106.01,2,2,u
106.79,2,10,d
107.56,1,8,l
108.46,2,11,d
109.37,2,3,u
110.04,1,1,u
110.87,1,9,d
111.77,1,8,l
112.41,2,7,r
113.27,2,2,u
114.09,1,12,l
115.05,1,13,d
115.67,2,9,l
116.42,1,1,u
117.35,1,4,l
118.12,1,9,d
118.94,2,10,d
119.85,1,9,d
120.57,1,5,u
121.43,2,10,d
122.30,2,6,u
123.23,1,9,d
123.97,1,9,l
